points_1	points_2	points_3	points_4	points_5	points_6	relevant	visits	analysis	stratum	weight
1	0	1	1	1	0	4	200	25	Urbaan	0.02461
1	1	2	0	0	2	6	385	26	Bos	0.01045
0	1	1	1	3	2	8	533	26	Heide en duin	0.01766
1	12	12	11	11	17	64	3542	26	Landbouw	0.96287
2	1	1	1	0	0	5	165	26	Moeras en water	0.00902
0	0	0	2	8	153	163	12151	27	Bos	0.05884
2	5	8	6	13	48	82	5394	27	Heide en duin	0.03752
5	24	35	45	54	88	251	16042	27	Landbouw	0.78275
1	3	3	4	9	34	54	3756	27	Moeras en water	0.0202
1	5	5	7	7	26	51	2969	27	Suburbaan	0.03026
2	6	10	8	16	27	69	4337	27	Urbaan	0.07044
2	3	2	3	1	1	12	501	28	Bos	0.0172
4	11	10	12	11	9	57	2959	28	Heide en duin	0.11293
8	22	17	5	7	4	63	2917	28	Landbouw	0.85082
0	3	1	3	0	0	7	310	28	Moeras en water	0.01134
1	1	1	1	0	0	4	115	28	Suburbaan	0.00771
1	2	0	0	1	0	4	185	29	Heide en duin	0.03275
0	5	4	1	2	1	13	684	29	Landbouw	0.96725
1	4	0	1	1	0	7	311	30	Bos	0.00397
1	4	2	2	2	1	12	676	30	Heide en duin	0.00923
6	24	28	36	31	40	165	9728	30	Landbouw	0.94378
0	2	12	5	3	6	28	1532	30	Moeras en water	0.01921
3	4	1	4	2	2	16	619	30	Suburbaan	0.01632
1	2	1	1	0	0	5	186	30	Urbaan	0.00749
4	1	0	0	0	0	5	67	31	Bos	0.21615
4	3	4	1	1	1	14	614	31	Moeras en water	0.78385
2	8	4	3	3	0	20	937	32	Bos	0.01461
2	7	6	2	3	2	22	1051	32	Heide en duin	0.02037
9	44	29	34	13	17	146	7218	32	Landbouw	0.92125
3	4	8	10	7	7	39	2197	32	Moeras en water	0.02951
2	1	1	2	0	0	6	226	32	Suburbaan	0.006
3	2	0	0	0	0	5	87	32	Urbaan	0.00826
