analysis	midpoint	window	estimate	lower_confidence_limit	upper_confidence_limit
584e7adc66eed7cfe7822a865eda2c4279265b03	2018.5	6	-0.0131	-0.0197	-0.0064
584e7adc66eed7cfe7822a865eda2c4279265b03	2019.5	6	-0.014	-0.021	-0.007
584e7adc66eed7cfe7822a865eda2c4279265b03	2020.5	6	-0.0146	-0.0221	-0.0072
584e7adc66eed7cfe7822a865eda2c4279265b03	2012.5	12	-0.0017	-0.0046	0.0011
584e7adc66eed7cfe7822a865eda2c4279265b03	2013.5	12	-0.0043	-0.0071	-0.0015
584e7adc66eed7cfe7822a865eda2c4279265b03	2014.5	12	-0.0054	-0.0083	-0.0025
584e7adc66eed7cfe7822a865eda2c4279265b03	2015.5	12	-0.0069	-0.0099	-0.0039
584e7adc66eed7cfe7822a865eda2c4279265b03	2016.5	12	-0.0086	-0.0118	-0.0054
584e7adc66eed7cfe7822a865eda2c4279265b03	2017.5	12	-0.0096	-0.0131	-0.0062
584e7adc66eed7cfe7822a865eda2c4279265b03	2015	17	-0.0059	-0.0081	-0.0036
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2009.5	6	-0.0043	-0.0249	0.0162
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2010.5	6	-4e-04	-0.0192	0.0185
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2011.5	6	5e-04	-0.0182	0.0192
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2012.5	6	-0.0045	-0.0231	0.0142
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2013.5	6	-0.002	-0.0203	0.0162
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2014.5	6	0.0039	-0.0138	0.0217
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2015.5	6	0.0158	-0.0019	0.0336
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2016.5	6	0.0213	0.0033	0.0393
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2017.5	6	0.0166	-0.0014	0.0346
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2018.5	6	0.0034	-0.0141	0.0209
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2019.5	6	-0.0039	-0.0218	0.014
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2020.5	6	-0.0061	-0.0252	0.013
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2012.5	12	0.0023	-0.0067	0.0112
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2013.5	12	0.0052	-0.0033	0.0137
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2014.5	12	0.0066	-0.0018	0.0151
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2015.5	12	0.0065	-0.0019	0.0148
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2016.5	12	0.006	-0.0025	0.0145
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2017.5	12	0.0056	-0.0032	0.0145
5d6bee1ad54c4e87ed3eb362bc8ad8c3dc2725a7	2015	17	0.0033	-0.0028	0.0095
6714226e0dff29c7e5dbe71a1f43137b5a4f6656	2007.5	2	0.0228	-0.0161	0.0616
6714226e0dff29c7e5dbe71a1f43137b5a4f6656	2008.5	2	-0.0659	-0.1037	-0.0281
6714226e0dff29c7e5dbe71a1f43137b5a4f6656	2009.5	2	-0.061	-0.1016	-0.0205
6714226e0dff29c7e5dbe71a1f43137b5a4f6656	2010.5	2	-4e-04	-0.0411	0.0403
6714226e0dff29c7e5dbe71a1f43137b5a4f6656	2011.5	2	-0.0422	-0.0883	0.0039
6714226e0dff29c7e5dbe71a1f43137b5a4f6656	2008.5	4	-0.0378	-0.0534	-0.0221
6714226e0dff29c7e5dbe71a1f43137b5a4f6656	2009.5	4	-0.0442	-0.0605	-0.0279
6714226e0dff29c7e5dbe71a1f43137b5a4f6656	2010.5	4	-0.0311	-0.0495	-0.0127
6714226e0dff29c7e5dbe71a1f43137b5a4f6656	2009.5	6	-0.0336	-0.0446	-0.0225
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2009.5	6	0.0119	0.0023	0.0216
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2010.5	6	0.0075	-0.0018	0.0168
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2011.5	6	0.0045	-0.0049	0.0139
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2012.5	6	-0.0014	-0.0107	0.0078
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2013.5	6	-0.0087	-0.0178	4e-04
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2014.5	6	-0.0132	-0.0226	-0.0039
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2015.5	6	-0.0137	-0.0235	-0.0039
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2016.5	6	-0.018	-0.0279	-0.0081
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2017.5	6	-0.0224	-0.0327	-0.0121
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2018.5	6	-0.0221	-0.0327	-0.0115
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2019.5	6	-0.0193	-0.0303	-0.0083
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2020.5	6	-0.0173	-0.0292	-0.0055
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2012.5	12	-0.0022	-0.0067	0.0023
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2013.5	12	-0.0061	-0.0105	-0.0016
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2014.5	12	-0.0096	-0.0142	-0.0051
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2015.5	12	-0.0136	-0.0183	-0.0088
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2016.5	12	-0.016	-0.021	-0.011
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2017.5	12	-0.0171	-0.0225	-0.0117
84c6a4d9c834395f41120e6e4df67c82eb9e4e20	2015	17	-0.0093	-0.0128	-0.0058
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2009.5	6	0.0081	-0.0042	0.0205
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2010.5	6	0.0018	-0.0102	0.0137
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2011.5	6	-0.0027	-0.015	0.0096
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2012.5	6	-0.0148	-0.0268	-0.0029
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2013.5	6	-0.0228	-0.0349	-0.0108
