analysis	speciesgroup	composite	cycle	linear	family	status_fingerprint	status	waic
1eba32b1bf4f9a46630e975ca3136089e0db1ae0	25	0	1	1	1	5f6e491ea488340bc5a1ae9950192c443235736c	1	19648.2283306541
1ec158b6dcff1a27b37423604529175845d69dc1	13	0	1	1	2	f8b034f1a9db699ea3db37a5bee0ccd83682c041	1	19507.7660940436
1edb836840d374c226c45cb34972bc0ec9b577a8	25	0	0	1	1	c77d4ecd252f0eb4888517bf9e10d2efe7810bb3	1	19644.2207268508
207c13940bd9b279c8446ddfc04dfdc567776002	15	0	1	0	1	42112f76b3d78526b3a1dbb88233d48c73fc12c2	1	5939.11707073958
214123bc075e6e379ec7078360d9b73f071a3045	176	0	0	1	1	6d9b78ce06d780d6b2146d67d32bfdee62c766c8	1	26153.4761506248
21bf947183e389b5548abc06f1e738c0cbed3d24	161	0	0	1	4	e65f02bc0ee5b88993e0ecfeff0cb49a7a9b34c1	1	67059.8407445501
21f4f441cdec6810f42efa617cb6491521b7fa3d	53	0	1	0	4	57962b7cef26f050c3378e186a634395d75a60ed	1	8038.03618680038
22523e4af2f93454b745c994708b318123f04d9e	168	0	0	1	2	7e77582b4d65693361c08606da6e5054bcc679cf	2	NA
2353e2555f3b2cc6c617c6a5a7f6887fe28414ca	45	0	0	0	4	af2e51c4f8fdb8f0fe5d03ca6cf1e913789b491f	1	12543.5318629617
24c2bec691d972e3d4d67712bab08311b2f9289c	141	0	0	1	2	4d37a32fc46cd079fcce2fca4b23f56b153f96dd	2	NA
25f24296b448cbe86114a1e880fb532cdce17e20	92	0	0	0	1	eead2e5f5d84b3e949c67be0cd2aa6bf34419bed	1	103775.946791589
261a95f9353f184ec9cdd41e5fd25ac4c54f6177	22	0	0	1	2	a1f2630ff95a8d1fbcdadda364e2f50d73fc3b81	2	NA
2668af3e681b88104e214dd4a7d4aafdebafe127	133	0	0	0	2	131c7f37fd3d447d1518d3501bb14836943f7d68	1	65000.4354081573
268fa5ef37532a55a0689b5caeac7f13ec0d8b21	159	0	0	1	2	333db6803024d7e4fdbf7d9317d6ec44160a9ecb	1	6896.55976136912
